,docs/libro1_clean.txt,docs/libro2_clean.txt,docs/libro3_clean.txt,docs/libro4_clean.txt,docs/libro5_clean.txt,docs/libro6_clean.txt
imperecederas,0,0,0,0,0,1
imposibilita,0,0,0,1,0,0
imposible,0,0,0,0,1,0
incapaz,0,0,0,0,0,1
incluyendo,0,0,0,0,1,0
inconsciencia,0,0,0,1,0,0
inconsciente,0,0,0,0,0,1
incorporados,0,0,0,0,0,1
inerte,0,0,0,1,0,0
influencia,0,0,1,0,0,0
informa,0,0,1,0,1,0
información,1,0,0,0,0,0
informado,1,0,0,0,0,0
informar,1,0,0,0,0,0
inicia,0,0,0,0,1,0
iniciaron,0,0,0,0,0,1
inició,0,1,0,0,0,0
inminencia,0,0,1,0,0,0
inmovilizado,0,0,0,1,0,0
integrada,0,0,1,0,0,0
intención,0,0,1,0,1,0
intentó,0,1,0,0,0,0
interior,0,0,1,0,0,0
internarse,0,0,1,0,0,0
interpone,0,0,0,0,1,0
intervención,0,0,0,1,0,0
intrigado,0,0,1,0,0,0
invasores,0,0,0,0,0,1
invisible,0,0,0,0,0,1
invitado,0,1,0,0,0,0
involuntariamente,0,0,1,0,0,0
inútil,0,0,0,0,0,1
irse,1,0,0,0,0,0
isen,0,0,0,0,1,0
isengard,0,1,1,0,0,0
isildur,1,0,0,0,1,0
ithilien,0,0,0,1,0,1
jardinero,1,0,0,0,0,0
jefe,0,0,0,0,1,0
jinete,0,0,0,0,1,0
juntos,0,0,0,0,0,1
juramento,0,0,0,0,1,0
justo,0,0,0,1,1,0
khazad,0,1,0,0,0,0
kraken,0,1,0,0,0,0
laderas,0,0,0,0,0,1
lago,0,1,0,0,0,0
lanceros,0,0,0,0,1,0
lanzan,0,0,0,0,1,0
lanzó,0,0,0,0,1,0
lava,0,0,0,0,0,1
legolas,0,1,1,0,1,0
lengua,0,0,0,0,0,1
leyes,0,0,0,1,0,0
liberado,0,0,0,0,1,0
liberan,0,0,1,0,0,0
libraban,0,0,0,1,0,0
librarse,0,0,0,0,1,0
libre,0,0,0,1,0,0
libro,0,1,1,0,0,1
lindes,0,0,1,0,0,0
llamada,0,1,0,0,0,0
llamado,1,1,0,0,1,1
llamar,0,0,0,0,1,0
llamas,0,0,0,0,0,1
llega,0,0,0,1,0,1
llegada,0,0,1,0,0,0
llegan,1,0,0,1,1,1
llegar,1,1,1,1,1,1
llegaron,0,1,0,0,1,0
llevaba,0,1,0,0,0,0
llevado,0,1,0,1,0,0
llevan,0,0,1,0,0,0
llevando,1,0,0,0,0,0
llevara,0,1,0,0,1,0
llevarlo,0,1,0,0,0,0
lobos,0,1,0,0,0,0
locura,0,0,0,0,1,0
logra,0,0,0,0,1,0
logran,1,0,0,0,0,1
lograron,0,1,0,0,0,0
logró,0,1,0,0,0,0
lomos,0,0,0,0,1,0
lothlórien,0,1,0,0,0,0
lucha,0,0,0,1,1,1
luchar,0,0,0,0,1,0
luz,0,0,0,0,1,0
látigo,0,1,0,0,0,0
légolas,0,0,1,0,0,0
mago,1,1,1,0,0,1
mal,0,1,0,0,0,0
maldición,0,0,0,0,1,0
malherida,0,0,0,1,0,0
malherido,0,0,0,0,1,0
maligna,0,0,1,0,0,0
malla,0,0,0,0,0,1
mano,0,0,1,0,0,1
manos,0,0,1,0,0,0
mantener,0,0,1,0,0,0
marcha,0,0,0,1,0,1
marchaban,0,0,0,1,0,0
marcharse,0,0,0,0,0,1
marchó,0,0,0,0,0,1
mariscal,0,0,1,0,0,0
matar,0,0,0,0,0,1
matándose,0,0,0,0,0,1
mazarbul,0,1,0,0,0,0
media,0,1,0,0,0,0
medio,0,0,1,0,0,1
meduseld,0,0,1,0,0,0
merry,1,1,1,0,1,1
mes,0,1,0,0,0,1
meses,0,1,0,0,0,0
metros,0,0,0,1,0,0
miembros,0,1,0,0,0,1
mil,0,0,0,0,1,0
millas,0,0,0,0,1,0
minas,0,1,1,1,1,1
mira,0,0,1,0,0,0
mirada,0,0,1,0,0,0
misión,0,0,0,1,1,0
misterioso,1,0,0,0,0,0
mitad,0,0,0,0,0,1
mithril,0,0,0,0,0,1
momentos,0,0,0,0,0,1
monstruo,0,1,0,0,0,0
montado,1,0,0,0,0,0
montaraces,0,0,0,1,1,0
montaña,0,1,0,0,0,1
montañas,0,1,0,0,0,0
monte,0,0,0,0,0,1
montó,0,0,0,0,1,0
mordisco,0,0,0,0,0,1
mordor,0,1,0,1,1,0
morgai,0,0,0,1,0,0
morgul,0,0,0,1,0,0
moria,0,1,0,1,0,0
moribundo,0,0,0,0,1,0
mortuoria,0,0,0,0,1,0
mostrar,0,0,0,0,1,0
motivo,1,0,0,1,0,0
movilización,0,0,0,0,1,0
muere,0,0,1,0,1,0
muerte,0,1,0,1,1,1
muerto,0,0,0,1,0,1
muertos,0,0,0,1,1,0
muil,0,0,0,1,0,0
mundo,0,0,1,0,0,0
muriendo,0,0,0,0,0,1
mágico,1,0,0,0,0,0
narraba,0,1,0,0,0,0
narración,0,0,1,0,0,0
naur,0,0,0,0,0,1
nazgûl,1,1,0,0,1,1
necesidad,0,0,0,0,1,0
negaba,1,0,0,0,0,0
negaron,0,0,0,0,0,1
negarse,0,0,0,0,1,1
negativa,0,1,0,0,0,0
negra,0,0,0,1,1,1
negro,0,1,0,0,1,0
niebla,1,0,0,0,0,0
niega,0,0,1,0,0,0
nob,1,0,0,0,0,0
noche,1,0,0,0,0,0
nombrado,0,0,0,0,0,1
norte,0,0,0,0,1,0
noticia,1,0,0,0,0,0
noticias,0,0,1,0,0,0
nube,0,0,0,0,1,0
nubladas,0,1,0,0,0,0
numerosos,0,1,0,0,0,0
objeto,0,0,1,1,0,0
obliga,0,0,1,1,0,0
obligada,0,1,0,0,0,0
obligado,0,0,0,0,1,0
obra,1,0,0,0,0,0
obras,0,0,0,0,0,1
observando,0,0,0,0,1,0
obsesionada,0,0,0,1,0,0
obstante,0,0,0,0,1,0
ocasionando,1,0,0,0,0,0
oculta,0,0,0,0,1,0
oculto,0,0,0,1,0,0
ocultándole,0,0,0,0,1,0
ocurrido,0,1,0,0,0,0
ocurridos,0,1,0,0,1,0
ocurrir,0,0,0,1,0,0
oeste,0,1,1,0,0,1
ofreciéndole,0,0,0,0,1,0
ofreció,0,1,0,0,0,0
ojos,0,0,0,1,0,0
oponente,0,0,1,0,0,0
oportuna,0,0,1,0,0,0
oportunidad,0,0,1,0,0,0
orcos,0,1,1,1,1,1
ordena,1,0,0,0,0,0
ordenó,0,1,0,0,0,0
orilla,0,1,0,0,0,0
orillas,0,1,0,0,0,0
orodruin,0,1,0,0,0,1
orthanc,0,0,1,0,0,1
oscuro,1,0,1,0,0,0
oye,0,0,0,1,0,0
oírse,0,1,0,0,0,0
pago,0,0,0,0,1,0
palantir,0,0,1,0,0,0
parada,1,0,0,0,0,0
parecido,0,1,0,0,0,0
parten,1,0,1,1,1,1
partes,0,0,1,0,0,0
parth,0,1,1,0,1,0
partida,1,0,0,0,0,0
partiendo,0,0,0,0,1,0
partió,1,1,0,0,0,0
pasando,0,1,0,0,0,0
pasar,1,1,0,0,0,0
paso,0,1,0,1,0,1
paz,1,0,0,0,0,0
pedir,0,1,0,0,0,0
pelargir,0,0,0,0,1,0
pelennor,0,0,0,0,1,0
peligro,0,1,1,0,0,0
penetraba,0,0,0,0,1,0
pensando,0,0,1,0,0,0
pequeña,1,0,0,0,0,0
perdido,1,0,0,0,0,0
perdidos,1,0,0,0,0,0
perecido,0,0,1,0,0,0
peripecias,0,0,1,0,0,0
permitieran,0,0,0,1,0,0
persecución,0,0,1,0,0,0
perseguidos,1,0,0,0,0,0
perseguirles,0,0,1,0,0,0
persiguen,1,0,0,0,0,0
personaje,1,0,0,0,0,0
personalidad,0,0,0,1,0,0
peso,0,0,0,0,0,1
picado,0,0,0,1,0,0
pies,0,1,0,0,0,1
pippin,1,1,1,0,1,1
pira,0,0,0,0,1,0
pisador,1,0,0,0,0,0
plan,1,0,0,0,0,0
planeando,0,0,0,1,0,0
poderoso,0,1,0,0,0,0
pone,1,0,0,0,0,1
ponen,0,0,0,1,0,0
ponerlo,0,0,1,0,0,0
posada,1,0,0,0,0,0
prados,0,1,0,0,0,0
precipitación,0,0,1,0,0,0
prefijada,0,0,1,0,0,0
preparan,0,0,1,0,0,0
preparar,0,0,1,1,0,0
presencia,0,0,0,1,0,0
presenciar,0,0,0,0,1,0
presentan,0,0,0,0,1,0
preso,0,1,0,0,0,0
pretexto,1,0,0,0,0,0
previo,0,0,1,0,0,0
previsto,0,0,0,0,0,1
principal,1,0,0,0,0,0
problema,0,0,0,0,1,0
produce,0,0,1,0,0,0
producido,0,0,0,0,0,1
producto,1,0,0,0,0,0
pronunciado,1,0,0,0,0,0
protegerlos,0,1,0,0,0,0
protegía,0,0,1,0,0,0
príncipe,0,1,0,0,0,0
pudieran,1,0,0,0,0,0
pueblo,0,1,0,0,0,0
pueblos,0,1,0,0,0,0
puente,0,1,0,0,0,0
puerta,0,1,0,1,1,1
puertas,0,0,1,0,0,0
puerto,0,0,0,0,1,0
puertos,0,0,0,0,0,1
puesto,0,0,1,0,1,0
pusieron,0,0,0,0,0,1
puso,1,1,0,0,0,0
póney,1,0,0,0,0,0
quebradas,1,0,0,0,0,0
quedado,1,0,0,0,0,0
quedan,0,0,0,0,1,0
quedando,0,0,1,0,0,0
quedaron,1,0,0,0,0,0
quemados,0,0,0,0,1,0
quería,0,1,0,0,0,0
quinto,0,0,0,0,1,0
quitarle,0,1,0,0,0,0
quitándoselo,0,0,1,0,0,0
rammas,0,0,0,0,1,0
rath,0,0,0,0,1,0
raza,0,0,0,0,1,0
reaparece,0,0,0,0,0,1
rechazarlos,0,1,0,0,0,0
recibe,0,0,0,0,1,0
recibidos,0,0,1,0,0,0
recibir,0,0,0,0,0,1
reconstrucción,0,0,0,0,0,1
recorrido,0,0,0,1,0,0
recta,0,0,0,1,0,0
recuperado,0,0,0,0,0,1
recuperarse,0,0,0,0,0,1
reencontrarse,0,0,1,0,0,0
reencontró,0,0,0,0,0,1
reencuentro,0,0,1,0,0,0
reflexionar,0,1,0,0,0,0
refugiarse,0,0,1,0,0,0
región,0,0,0,0,1,0
regresa,1,0,0,0,1,0
regreso,0,0,0,0,0,1
regresó,0,1,0,0,0,0
reino,0,0,1,1,0,0
relatan,0,0,1,0,0,0
rematar,0,0,0,0,1,0
replegarse,0,0,1,0,0,0
repliegue,0,0,1,0,0,0
reponerse,0,0,1,0,0,0
representa,0,0,1,0,0,0
representantes,0,1,0,0,0,0
rescatados,0,0,0,0,0,1
rescatar,0,0,1,1,1,0
rescate,0,0,0,0,0,1
rescaten,0,0,1,0,0,0
resistencia,0,0,0,0,1,0
resto,1,1,0,1,0,0
retirarse,0,0,0,0,1,0
retractara,0,0,1,0,0,0
retroceder,0,0,0,0,1,0
retuvo,0,1,0,0,0,0
reunirse,1,0,0,0,0,0
revela,0,0,1,0,1,0
